Группы,UUID,Тип,Код,Наименование,Внешний код,Артикул,Единица измерения,Цена: Розничная цена,Закупочная цена,Описание,Минимальная цена,Страна,НДС,Поставщик,Вес,Объем,"Доп. поле: Розничная наценка, %",Доп. поле: Длина,Доп. поле: Ширина,Доп. поле: Высота,Доп. поле: Бренд,Доп. поле: Артикул поставщика,Доп. поле: Артикул производителя,Доп. поле: Кратность отгрузки,Доп. поле: ОЕМ номер
КАТЕГОРИИ ТОВАРОВ/Автолампы,0151ccd8-9bd4-11ed-0a80-1026000bafcb,Товар,1-300960,"Лампа 12В  1,2Вт металлический цоколь аварийная Маяк 61212AB",В61212AB,,шт,"10,00","1,84","Лампа 12В  1,2Вт металлический цоколь аварийная Маяк 61212AB","10,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Нет бренда,61212AB,,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,018691ea-9bd4-11ed-0a80-1026000bafd7,Товар,1-300961,Лампа 12В  1Вт металлический цоколь приборная Маяк 61201,В61201,,шт,"10,00","2,76",Лампа 12В  1Вт металлический цоколь приборная Маяк 61201,"10,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Нет бренда,61201,,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,05b7f800-fd06-11eb-0a80-074200141dda,Товар,1-015122,Лампа 12 В  5 Вт металлический цоколь 10 шт. Vegas AVS,В48817a,A78185S,компл,"20,00","11,90",Лампа 12 В  5 Вт металлический цоколь 10 шт. Vegas AVS,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,05","0,0002",43,"10,5",5,"3,5",AVS,48817a,A78185S,1,A78185S
КАТЕГОРИИ ТОВАРОВ/Автолампы,05cbd372-fd06-11eb-0a80-074200141df1,Товар,1-015526,Лампа 12 В H11 55 Вт PGJ19-2 Long Life галогенная Clearlight,В172161a,MLH11LL,шт,"200,00","135,00",Лампа 12 В H11 55 Вт PGJ19-2 Long Life галогенная Clearlight,"150,00",Китай,20,"ООО ""ТД ВОСХОД""","0,02","0,0001",43,6,4,4,ClearLight,172161a,MLH11LL,1,MLH11LL
КАТЕГОРИИ ТОВАРОВ/Автолампы,05e95073-fd07-11eb-0a80-07420014f6f8,Товар,1-015413,Лампа 12 В H1  55 Вт Super White Lynx,В97259и,L10155B,шт,"250,00","168,00",Лампа 12 В H1  55 Вт Super White Lynx,"190,00",Япония,20,"ООО ""ТД ВОСХОД""","0,01",0,43,"2,5","2,5","6,5",LYNXauto,97259и,L10155B,1,L10155B
КАТЕГОРИИ ТОВАРОВ/Автолампы,072957fc-9bd4-11ed-0a80-1026000bb144,Товар,1-300962,Лампа 12В 215Вт 2х-контактная без цоколя пластик Маяк 61157,В61157,,шт,"20,00","11,96",Лампа 12В 215Вт 2х-контактная без цоколя пластик Маяк 61157,"20,00",Китай,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Нет бренда,61157,,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,09de188b-658f-11ee-0a80-10eb0038504e,Товар,1-322125,Лампа 12 В 21/5 Вт 2х-контактная Volton,В102196s,VLT0908,шт,"30,00","18,52",Лампа 12 В 21/5 Вт 2х-контактная Volton,"30,00",Россия,20,"ООО ""ТД ВОСХОД""",0,0,43,,,,Volton,102196s,VLT0908,1,
КАТЕГОРИИ ТОВАРОВ/Автолампы,20d2a10f-fd08-11eb-0a80-074200159738,Товар,1-015427,Лампа 12 В H1  55 Вт дальнего света +110% 2 шт. Sirius Night Way AVS,В128813a,A78944S,шт,"470,00","323,00",Лампа 12 В H1  55 Вт дальнего света +110% 2 шт. Sirius Night Way AVS,"360,00",Китай,20,"ООО ""ТД ВОСХОД""","0,06","0,0006",43,10,10,6,Sirius,128813a,A78944S,1,A78944S
КАТЕГОРИИ ТОВАРОВ/Автолампы,21e55509-fd08-11eb-0a80-0742001597f4,Товар,1-004402,Блок розжига OmegaLight Slim 9-16 В,В52208a,B0L013000-001,шт,"540,00","371,70",Блок розжига OmegaLight Slim 9-16 В,"410,00",Китай,20,"ООО ""ТД ВОСХОД""","0,2","0,0005",43,"8,5","4,5",13,Omega Light,52208a,B0L013000-001,1,B0L013000-001
КАТЕГОРИИ ТОВАРОВ/Автолампы,2a4f0bdf-fd06-11eb-0a80-0742001438e0,Товар,1-015195,Лампа 12 В 10 Вт металлический цоколь габаритные огни 100 шт. Маяк Д,В137265a,61210,компл,"20,00","10,76",Лампа 12 В 10 Вт металлический цоколь габаритные огни 100 шт. Маяк Д,"20,00",Китай,20,"ООО ""ТД ВОСХОД""","0,02","0,0016",34,"20,5",20,4,Маяк,137265a,61210,1,
